Dystans (m),WysokoϾ (m)
1184.1245031545757,826.1008911132812
1194.6034810585984,824.3695678710938
1205.082458962621,823.0392456054688
1215.561436866644,821.8825073242188
1226.0404147706668,820.9193725585938
1236.5193926746895,819.4619750976562
1246.9983705787124,817.6695556640625
1257.4773484827351,815.5787963867188
1267.956326386758,813.2476806640625
1278.4353042907808,810.37255859375
1288.9142821948035,806.365966796875
1299.3932600988264,800.1326904296875
1309.8722380028491,793.3494873046875
1320.3512159068719,785.9074096679688
1330.8301938108948,778.6375122070312
1341.3091717149175,771.817138671875
1351.7881496189402,765.0972900390625
1362.2671275229632,759.2330322265625
1372.7461054269859,748.3004760742188
1383.2250833310086,727.0718383789062
1393.7040612350315,716.8897705078125
1404.1830391390542,709.6608276367188
1414.662017043077,702.2587280273438
1425.1409949471,692.6682739257812
1435.6199728511226,678.5818481445312
1446.0989507551456,665.6015014648438
1456.5779286591683,657.5479736328125
1467.056906563191,652.2333374023438
1477.535884467214,649.1782836914062
1488.0148623712366,648.6093139648438
1498.4938402752593,648.4139404296875
1508.9728181792823,649.1088256835938
1519.451796083305,653.870361328125
1529.9307739873277,661.4949340820312
1540.4097518913507,667.0281982421875
1550.8887297953734,672.7247314453125
1561.367707699396,679.0274047851562
1571.846685603419,684.1193237304688
1582.3256635074417,689.6287841796875
1592.8046414114644,695.3842163085938
1603.2836193154874,702.162353515625
1613.76259721951,708.9397583007812
1624.2415751235328,715.8213500976562
1634.7205530275558,733.5119018554688
1645.1995309315785,754.4536743164062
1655.6785088356014,768.3323364257812
1666.1574867396241,774.969970703125
1676.6364646436468,779.6482543945312
1687.1154425476698,782.71044921875
1697.5944204516925,784.6531372070312
1708.0733983557152,786.543212890625
1718.5523762597381,788.7777099609375
1729.0313541637609,791.1385498046875
1739.5103320677836,792.777099609375
1749.9893099718065,795.7902221679688
1760.4682878758292,798.5176391601562
1770.947265779852,801.4556274414062
1781.4262436838749,804.1963500976562
1791.9052215878976,807.6294555664062
1802.3841994919203,810.4616088867188
1812.8631773959432,812.821044921875
1823.342155299966,815.2105712890625
1833.821133203989,816.9103393554688
1844.3001111080116,820.2219848632812
1854.7790890120343,826.1866455078125
1865.2580669160573,831.7959594726562
1875.73704482008,838.0457763671875
1886.2160227241027,843.8502197265625
1896.6950006281256,847.658447265625
1907.1739785321483,853.5814208984375
1917.652956436171,856.922607421875
1928.131934340194,858.9853515625
1938.6109122442167,860.875
